Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn)
Fedje;SN52535;04.06.2012;14
Fedje;SN52535;05.06.2012;9,6
Fedje;SN52535;06.06.2012;6,2
Fedje;SN52535;07.06.2012;6,8
Fedje;SN52535;08.06.2012;7,4
Fedje;SN52535;09.06.2012;6,5
Fedje;SN52535;10.06.2012;6,5
Fedje;SN52535;11.06.2012;7,8
Fedje;SN52535;12.06.2012;7,2
Fedje;SN52535;13.06.2012;13,9
Fedje;SN52535;14.06.2012;13,6
Fedje;SN52535;15.06.2012;10
Fedje;SN52535;16.06.2012;8
Fedje;SN52535;17.06.2012;8,8
Fedje;SN52535;18.06.2012;6,5
Fedje;SN52535;19.06.2012;8,6
Fedje;SN52535;20.06.2012;7,7
Fedje;SN52535;21.06.2012;6
Fedje;SN52535;22.06.2012;10
Fedje;SN52535;23.06.2012;9,8
Fedje;SN52535;24.06.2012;10,4
Fedje;SN52535;25.06.2012;12,7
Fedje;SN52535;26.06.2012;14
Fedje;SN52535;27.06.2012;10,1
Fedje;SN52535;28.06.2012;9,1
Fedje;SN52535;29.06.2012;11,9
Fedje;SN52535;30.06.2012;15,4
Fedje;SN52535;01.07.2012;12,1
Fedje;SN52535;02.07.2012;12,2
Fedje;SN52535;03.07.2012;7,1
Fedje;SN52535;04.07.2012;8,4
Fedje;SN52535;05.07.2012;8,1
Fedje;SN52535;06.07.2012;7,9
Fedje;SN52535;07.07.2012;6,5
Fedje;SN52535;08.07.2012;7,5
Fedje;SN52535;09.07.2012;8,2
Fedje;SN52535;10.07.2012;9,2
Fedje;SN52535;11.07.2012;8,7
Fedje;SN52535;12.07.2012;6,9
Fedje;SN52535;13.07.2012;8,8
Fedje;SN52535;14.07.2012;7,8
Fedje;SN52535;15.07.2012;9,8
Fedje;SN52535;16.07.2012;9,7
Fedje;SN52535;17.07.2012;9,9
Fedje;SN52535;18.07.2012;7,8
Fedje;SN52535;19.07.2012;12,8
Fedje;SN52535;20.07.2012;13,9
Fedje;SN52535;21.07.2012;10,3
Fedje;SN52535;22.07.2012;16,9
Fedje;SN52535;23.07.2012;16
Fedje;SN52535;24.07.2012;9,9
Fedje;SN52535;25.07.2012;8,5
Fedje;SN52535;26.07.2012;8,9
Fedje;SN52535;27.07.2012;9,6
Fedje;SN52535;28.07.2012;11
Fedje;SN52535;29.07.2012;10,8
Fedje;SN52535;30.07.2012;11,3
Fedje;SN52535;31.07.2012;8,8
Fedje;SN52535;01.08.2012;6,3
Fedje;SN52535;02.08.2012;8,9
Fedje;SN52535;03.08.2012;11,4
Fedje;SN52535;04.08.2012;7,3
Fedje;SN52535;05.08.2012;4,9
Fedje;SN52535;06.08.2012;10,3
Fedje;SN52535;07.08.2012;12,1
Fedje;SN52535;08.08.2012;12,7
Fedje;SN52535;09.08.2012;8,5
Fedje;SN52535;10.08.2012;6,9
Fedje;SN52535;11.08.2012;6,9
Fedje;SN52535;12.08.2012;6,8
Fedje;SN52535;13.08.2012;4,8
Fedje;SN52535;14.08.2012;6,4
Fedje;SN52535;15.08.2012;6,1
Fedje;SN52535;16.08.2012;10,1
Fedje;SN52535;17.08.2012;8,5
Fedje;SN52535;18.08.2012;11,9
Fedje;SN52535;19.08.2012;12,5
Fedje;SN52535;20.08.2012;7,1
Fedje;SN52535;21.08.2012;6,1
Fedje;SN52535;22.08.2012;9
Fedje;SN52535;23.08.2012;8,6
Fedje;SN52535;24.08.2012;8,4
Fedje;SN52535;25.08.2012;11,4
Fedje;SN52535;26.08.2012;13,5
Fedje;SN52535;27.08.2012;11,4
Fedje;SN52535;28.08.2012;19
Fedje;SN52535;29.08.2012;14,3
Fedje;SN52535;30.08.2012;17,2
Fedje;SN52535;31.08.2012;10,3
Fedje;SN52535;01.09.2012;14,3
Fedje;SN52535;02.09.2012;16,9
Fedje;SN52535;03.09.2012;12
Fedje;SN52535;04.09.2012;21,1
Fedje;SN52535;05.09.2012;17,6
Fedje;SN52535;06.09.2012;14,4
Fedje;SN52535;07.09.2012;13,4
Fedje;SN52535;08.09.2012;10
Fedje;SN52535;09.09.2012;17,4
Fedje;SN52535;10.09.2012;16,8
Fedje;SN52535;11.09.2012;15,9
Fedje;SN52535;12.09.2012;13,2
Fedje;SN52535;13.09.2012;18,8
Fedje;SN52535;14.09.2012;18,8
Fedje;SN52535;15.09.2012;14
Fedje;SN52535;16.09.2012;15,5
Fedje;SN52535;17.09.2012;15,5
Fedje;SN52535;18.09.2012;13,9
Fedje;SN52535;19.09.2012;11,8
Fedje;SN52535;20.09.2012;12,3
Fedje;SN52535;21.09.2012;9,1
Fedje;SN52535;22.09.2012;7,5
Fedje;SN52535;23.09.2012;5,8
Fedje;SN52535;24.09.2012;5,6
Fedje;SN52535;25.09.2012;13,5
Fedje;SN52535;26.09.2012;4,1
Fedje;SN52535;27.09.2012;9,9
Fedje;SN52535;28.09.2012;15,8
Fedje;SN52535;29.09.2012;13,8
Fedje;SN52535;30.09.2012;16,1
Fedje;SN52535;01.10.2012;14,8
Fedje;SN52535;02.10.2012;16,5
Fedje;SN52535;03.10.2012;16,8
Fedje;SN52535;04.10.2012;15,7
Fedje;SN52535;05.10.2012;12,8
Fedje;SN52535;06.10.2012;9,6
Fedje;SN52535;07.10.2012;16,5
Fedje;SN52535;08.10.2012;13,2
Fedje;SN52535;09.10.2012;12,9
Fedje;SN52535;10.10.2012;10,9
Fedje;SN52535;11.10.2012;6,7
Fedje;SN52535;12.10.2012;8,9
Fedje;SN52535;13.10.2012;9,7
Fedje;SN52535;14.10.2012;6,8
Fedje;SN52535;15.10.2012;10,9
Fedje;SN52535;16.10.2012;8,4
Fedje;SN52535;17.10.2012;11,9
Fedje;SN52535;18.10.2012;14,6
Fedje;SN52535;19.10.2012;7,6
Fedje;SN52535;20.10.2012;7
Fedje;SN52535;21.10.2012;6,7
Fedje;SN52535;22.10.2012;9,6
Fedje;SN52535;23.10.2012;7,8
Fedje;SN52535;24.10.2012;10,5
Fedje;SN52535;25.10.2012;19,2
Fedje;SN52535;26.10.2012;22,8
Fedje;SN52535;27.10.2012;14,9
Fedje;SN52535;28.10.2012;10,6
Fedje;SN52535;29.10.2012;10,6
Fedje;SN52535;30.10.2012;9,6
Fedje;SN52535;31.10.2012;17,3
Fedje;SN52535;01.11.2012;19,1
Fedje;SN52535;02.11.2012;15,5
Fedje;SN52535;03.11.2012;16
Fedje;SN52535;04.11.2012;4,9
Fedje;SN52535;05.11.2012;4,8
Fedje;SN52535;06.11.2012;16,3
Fedje;SN52535;07.11.2012;15,2
Fedje;SN52535;08.11.2012;10,8
Fedje;SN52535;09.11.2012;19,2
Fedje;SN52535;10.11.2012;17,2
Fedje;SN52535;11.11.2012;15,8
Fedje;SN52535;12.11.2012;15,9
Fedje;SN52535;13.11.2012;17,5
Fedje;SN52535;14.11.2012;16,7
Fedje;SN52535;15.11.2012;14,2
Fedje;SN52535;16.11.2012;15,7
Fedje;SN52535;17.11.2012;16,4
Fedje;SN52535;18.11.2012;16
Fedje;SN52535;19.11.2012;18,9
Fedje;SN52535;20.11.2012;19,3
Fedje;SN52535;21.11.2012;17,9
Fedje;SN52535;22.11.2012;16,3
Fedje;SN52535;23.11.2012;20,8
Fedje;SN52535;24.11.2012;13,2
Fedje;SN52535;25.11.2012;11,7
Fedje;SN52535;26.11.2012;8,6
Fedje;SN52535;27.11.2012;7,1
Fedje;SN52535;28.11.2012;4,9
Fedje;SN52535;29.11.2012;10,7
Fedje;SN52535;30.11.2012;11,3
Fedje;SN52535;01.12.2012;11,4
Fedje;SN52535;02.12.2012;10,3
Fedje;SN52535;03.12.2012;7,3
Fedje;SN52535;04.12.2012;5,9
Fedje;SN52535;05.12.2012;10,1
Fedje;SN52535;06.12.2012;10,2
Fedje;SN52535;07.12.2012;10,2
Fedje;SN52535;08.12.2012;17,6
Fedje;SN52535;09.12.2012;20,1
Fedje;SN52535;10.12.2012;7,2
Fedje;SN52535;11.12.2012;5,5
Fedje;SN52535;12.12.2012;9,6
Fedje;SN52535;13.12.2012;12,1
Fedje;SN52535;14.12.2012;13
Fedje;SN52535;15.12.2012;18,3
Fedje;SN52535;16.12.2012;17,7
Fedje;SN52535;17.12.2012;9,6
Fedje;SN52535;18.12.2012;6,7
Fedje;SN52535;19.12.2012;8,9
Fedje;SN52535;20.12.2012;8,6
Fedje;SN52535;21.12.2012;7,1
Fedje;SN52535;22.12.2012;11,3
Fedje;SN52535;23.12.2012;18,3
Fedje;SN52535;24.12.2012;14,3
Fedje;SN52535;25.12.2012;7,4
Fedje;SN52535;26.12.2012;11,3
Fedje;SN52535;27.12.2012;17,1
Fedje;SN52535;28.12.2012;19,2
Fedje;SN52535;29.12.2012;20,1
Fedje;SN52535;30.12.2012;15,3
Fedje;SN52535;31.12.2012;18,3
Fedje;SN52535;01.01.2013;12,2
Fedje;SN52535;02.01.2013;10,4
Fedje;SN52535;03.01.2013;16,1
Fedje;SN52535;04.01.2013;12,1
Fedje;SN52535;05.01.2013;8
Fedje;SN52535;06.01.2013;11,5
Fedje;SN52535;07.01.2013;16,5
Fedje;SN52535;08.01.2013;9,5
Fedje;SN52535;09.01.2013;11,5
Fedje;SN52535;10.01.2013;5,7
Fedje;SN52535;11.01.2013;9,5
Fedje;SN52535;12.01.2013;6,6
Fedje;SN52535;13.01.2013;13,6
Fedje;SN52535;14.01.2013;14,6
Fedje;SN52535;15.01.2013;7,2
Fedje;SN52535;16.01.2013;10,9
Fedje;SN52535;17.01.2013;11,5
Fedje;SN52535;18.01.2013;9,4
Fedje;SN52535;19.01.2013;7,4
Fedje;SN52535;20.01.2013;4,6
Fedje;SN52535;21.01.2013;8,8
Fedje;SN52535;22.01.2013;4,7
Fedje;SN52535;23.01.2013;6,8
Fedje;SN52535;24.01.2013;11,3
Fedje;SN52535;25.01.2013;17
Fedje;SN52535;26.01.2013;17
Fedje;SN52535;27.01.2013;19
Fedje;SN52535;28.01.2013;15,4
Fedje;SN52535;29.01.2013;15,5
Fedje;SN52535;30.01.2013;20,5
Fedje;SN52535;31.01.2013;15,4
Fedje;SN52535;01.02.2013;5,2
Fedje;SN52535;02.02.2013;14,1
Fedje;SN52535;03.02.2013;18,9
Fedje;SN52535;04.02.2013;17,3
Fedje;SN52535;05.02.2013;12,6
Fedje;SN52535;06.02.2013;10,7
Fedje;SN52535;07.02.2013;6,6
Fedje;SN52535;08.02.2013;6,3
Fedje;SN52535;09.02.2013;7
Fedje;SN52535;10.02.2013;9
Fedje;SN52535;11.02.2013;7
Fedje;SN52535;12.02.2013;4,7
Fedje;SN52535;13.02.2013;15,5
Fedje;SN52535;14.02.2013;20,4
Fedje;SN52535;15.02.2013;14,9
Fedje;SN52535;16.02.2013;15,4
Fedje;SN52535;17.02.2013;16,2
Fedje;SN52535;18.02.2013;10,1
Fedje;SN52535;19.02.2013;7,9
Fedje;SN52535;20.02.2013;8,8
Fedje;SN52535;21.02.2013;7,6
Fedje;SN52535;22.02.2013;1,1
Fedje;SN52535;23.02.2013;5,6
Fedje;SN52535;24.02.2013;5,7
Fedje;SN52535;25.02.2013;4,9
Fedje;SN52535;26.02.2013;5,1
Fedje;SN52535;27.02.2013;4,9
Fedje;SN52535;28.02.2013;12
Fedje;SN52535;01.03.2013;12,3
Fedje;SN52535;02.03.2013;17
Fedje;SN52535;03.03.2013;13,6
Fedje;SN52535;04.03.2013;11,1
Fedje;SN52535;05.03.2013;12
Fedje;SN52535;06.03.2013;9,2
Fedje;SN52535;07.03.2013;9,5
Fedje;SN52535;08.03.2013;5,6
Fedje;SN52535;09.03.2013;8,1
Fedje;SN52535;10.03.2013;9,2
Fedje;SN52535;11.03.2013;6,3
Fedje;SN52535;12.03.2013;9,3
Fedje;SN52535;13.03.2013;10,6
Fedje;SN52535;14.03.2013;9,8
Fedje;SN52535;15.03.2013;11,6
Fedje;SN52535;16.03.2013;11,6
Fedje;SN52535;17.03.2013;13
Fedje;SN52535;18.03.2013;13
Fedje;SN52535;19.03.2013;9,1
Fedje;SN52535;20.03.2013;8
Fedje;SN52535;21.03.2013;12,3
Fedje;SN52535;22.03.2013;9,1
Fedje;SN52535;23.03.2013;10,1
Fedje;SN52535;24.03.2013;5,6
Fedje;SN52535;25.03.2013;5,7
Fedje;SN52535;26.03.2013;5,8
Fedje;SN52535;27.03.2013;5,3
Fedje;SN52535;28.03.2013;7,9
Fedje;SN52535;29.03.2013;6,4
Fedje;SN52535;30.03.2013;5,6
Fedje;SN52535;31.03.2013;10,7
Fedje;SN52535;01.04.2013;7
Fedje;SN52535;02.04.2013;9,3
Fedje;SN52535;03.04.2013;6,8
Fedje;SN52535;04.04.2013;9,9
Fedje;SN52535;05.04.2013;9,2
Fedje;SN52535;06.04.2013;13,4
Fedje;SN52535;07.04.2013;7,9
Fedje;SN52535;08.04.2013;5,8
Fedje;SN52535;09.04.2013;5,7
Fedje;SN52535;10.04.2013;6,6
Fedje;SN52535;11.04.2013;7,5
Fedje;SN52535;12.04.2013;8,1
Fedje;SN52535;13.04.2013;7,6
Fedje;SN52535;14.04.2013;21,1
Fedje;SN52535;15.04.2013;19,6
Fedje;SN52535;16.04.2013;18,6
Fedje;SN52535;17.04.2013;19
Fedje;SN52535;18.04.2013;17
Fedje;SN52535;19.04.2013;15,4
