Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn)
Halten Fyr;SN71850;19.09.2017;10,4
Halten Fyr;SN71850;20.09.2017;16,9
Halten Fyr;SN71850;21.09.2017;17,3
Halten Fyr;SN71850;22.09.2017;11,2
Halten Fyr;SN71850;23.09.2017;7,9
Halten Fyr;SN71850;24.09.2017;9,1
Halten Fyr;SN71850;25.09.2017;8,2
Halten Fyr;SN71850;26.09.2017;14,6
Halten Fyr;SN71850;27.09.2017;9,9
Halten Fyr;SN71850;28.09.2017;15,6
Halten Fyr;SN71850;29.09.2017;18,2
Halten Fyr;SN71850;30.09.2017;21,3
Halten Fyr;SN71850;01.10.2017;19,6
Halten Fyr;SN71850;02.10.2017;22,6
Halten Fyr;SN71850;03.10.2017;14,1
Halten Fyr;SN71850;04.10.2017;16,4
Halten Fyr;SN71850;05.10.2017;10,3
Halten Fyr;SN71850;06.10.2017;15
Halten Fyr;SN71850;07.10.2017;17
Halten Fyr;SN71850;08.10.2017;12,2
Halten Fyr;SN71850;09.10.2017;11,3
Halten Fyr;SN71850;10.10.2017;15,2
Halten Fyr;SN71850;11.10.2017;14,7
Halten Fyr;SN71850;12.10.2017;11,7
Halten Fyr;SN71850;13.10.2017;14,3
Halten Fyr;SN71850;14.10.2017;20,6
Halten Fyr;SN71850;15.10.2017;17,4
Halten Fyr;SN71850;16.10.2017;26,4
Halten Fyr;SN71850;17.10.2017;13,7
Halten Fyr;SN71850;18.10.2017;14
Halten Fyr;SN71850;19.10.2017;8,4
Halten Fyr;SN71850;20.10.2017;13,6
Halten Fyr;SN71850;21.10.2017;14,9
Halten Fyr;SN71850;22.10.2017;12,1
Halten Fyr;SN71850;23.10.2017;15,9
Halten Fyr;SN71850;24.10.2017;18,3
Halten Fyr;SN71850;25.10.2017;17,3
Halten Fyr;SN71850;26.10.2017;10,6
Halten Fyr;SN71850;27.10.2017;16,6
Halten Fyr;SN71850;28.10.2017;15,9
Halten Fyr;SN71850;29.10.2017;21,7
Halten Fyr;SN71850;30.10.2017;18,6
Halten Fyr;SN71850;31.10.2017;14,5
Halten Fyr;SN71850;01.11.2017;12,3
Halten Fyr;SN71850;02.11.2017;17,7
Halten Fyr;SN71850;03.11.2017;22,6
Halten Fyr;SN71850;04.11.2017;19,2
Halten Fyr;SN71850;05.11.2017;12
Halten Fyr;SN71850;06.11.2017;15,3
Halten Fyr;SN71850;07.11.2017;14,8
Halten Fyr;SN71850;08.11.2017;13,4
Halten Fyr;SN71850;09.11.2017;20,3
Halten Fyr;SN71850;10.11.2017;18,2
Halten Fyr;SN71850;11.11.2017;18,8
Halten Fyr;SN71850;12.11.2017;18,2
Halten Fyr;SN71850;13.11.2017;15,2
Halten Fyr;SN71850;14.11.2017;14,2
Halten Fyr;SN71850;15.11.2017;19,4
Halten Fyr;SN71850;16.11.2017;16
Halten Fyr;SN71850;17.11.2017;19,9
Halten Fyr;SN71850;18.11.2017;17,3
Halten Fyr;SN71850;21.12.2017;23,4
Halten Fyr;SN71850;22.12.2017;19,2
Halten Fyr;SN71850;23.12.2017;22,3
Halten Fyr;SN71850;24.12.2017;10,2
Halten Fyr;SN71850;25.12.2017;6,1
Halten Fyr;SN71850;26.12.2017;18,2
Halten Fyr;SN71850;27.12.2017;18,1
Halten Fyr;SN71850;28.12.2017;9,4
Halten Fyr;SN71850;29.12.2017;10,8
Halten Fyr;SN71850;30.12.2017;18,1
Halten Fyr;SN71850;31.12.2017;14,3
Halten Fyr;SN71850;01.01.2018;14,4
Halten Fyr;SN71850;02.01.2018;11,5
Halten Fyr;SN71850;03.01.2018;10,9
Halten Fyr;SN71850;04.01.2018;10,7
Halten Fyr;SN71850;05.01.2018;12,6
Halten Fyr;SN71850;06.01.2018;17,5
Halten Fyr;SN71850;07.01.2018;29,4
Halten Fyr;SN71850;08.01.2018;18,2
Halten Fyr;SN71850;09.01.2018;18,4
Halten Fyr;SN71850;10.01.2018;11,8
Halten Fyr;SN71850;11.01.2018;16,1
Halten Fyr;SN71850;12.01.2018;7,3
Halten Fyr;SN71850;13.01.2018;9
Halten Fyr;SN71850;14.01.2018;17,7
Halten Fyr;SN71850;15.01.2018;24,4
Halten Fyr;SN71850;16.01.2018;22,6
Halten Fyr;SN71850;17.01.2018;16,2
Halten Fyr;SN71850;18.01.2018;16,3
Halten Fyr;SN71850;19.01.2018;13,9
Halten Fyr;SN71850;20.01.2018;11,5
Halten Fyr;SN71850;21.01.2018;8,7
Halten Fyr;SN71850;22.01.2018;11,6
Halten Fyr;SN71850;23.01.2018;15,4
Halten Fyr;SN71850;24.01.2018;18,6
Halten Fyr;SN71850;25.01.2018;16,2
Halten Fyr;SN71850;26.01.2018;14,7
Halten Fyr;SN71850;27.01.2018;18,4
Halten Fyr;SN71850;28.01.2018;18,7
Halten Fyr;SN71850;29.01.2018;12,4
Halten Fyr;SN71850;30.01.2018;14,1
Halten Fyr;SN71850;31.01.2018;17,4
Halten Fyr;SN71850;01.02.2018;19,4
Halten Fyr;SN71850;02.02.2018;11
Halten Fyr;SN71850;03.02.2018;17,9
Halten Fyr;SN71850;04.02.2018;13,7
Halten Fyr;SN71850;05.02.2018;15,8
Halten Fyr;SN71850;06.02.2018;8,1
Halten Fyr;SN71850;07.02.2018;13,6
Halten Fyr;SN71850;08.02.2018;16
Halten Fyr;SN71850;09.02.2018;13,5
Halten Fyr;SN71850;10.02.2018;14,5
Halten Fyr;SN71850;11.02.2018;21,2
Halten Fyr;SN71850;12.02.2018;22
Halten Fyr;SN71850;13.02.2018;12,1
Halten Fyr;SN71850;14.02.2018;15,9
Halten Fyr;SN71850;15.02.2018;21,4
Halten Fyr;SN71850;16.02.2018;16
Halten Fyr;SN71850;17.02.2018;10,9
Halten Fyr;SN71850;18.02.2018;10,1
Halten Fyr;SN71850;19.02.2018;7,7
Halten Fyr;SN71850;20.02.2018;9
Halten Fyr;SN71850;21.02.2018;12,6
Halten Fyr;SN71850;22.02.2018;9,4
Halten Fyr;SN71850;23.02.2018;8,7
Halten Fyr;SN71850;24.02.2018;10,5
Halten Fyr;SN71850;25.02.2018;13,6
Halten Fyr;SN71850;26.02.2018;7,4
Halten Fyr;SN71850;27.02.2018;15,4
Halten Fyr;SN71850;28.02.2018;13,2
Halten Fyr;SN71850;01.03.2018;13,7
Halten Fyr;SN71850;02.03.2018;9,9
Halten Fyr;SN71850;03.03.2018;6,5
Halten Fyr;SN71850;04.03.2018;6,1
Halten Fyr;SN71850;05.03.2018;10,4
Halten Fyr;SN71850;06.03.2018;10,6
Halten Fyr;SN71850;07.03.2018;8,1
Halten Fyr;SN71850;08.03.2018;10
Halten Fyr;SN71850;09.03.2018;15,5
Halten Fyr;SN71850;10.03.2018;5
Halten Fyr;SN71850;11.03.2018;8,1
Halten Fyr;SN71850;12.03.2018;9,9
Halten Fyr;SN71850;13.03.2018;7,5
Halten Fyr;SN71850;14.03.2018;8,7
Halten Fyr;SN71850;15.03.2018;11,7
Halten Fyr;SN71850;16.03.2018;13,5
Halten Fyr;SN71850;17.03.2018;15,3
Halten Fyr;SN71850;18.03.2018;19,4
Halten Fyr;SN71850;19.03.2018;19,6
Halten Fyr;SN71850;20.03.2018;17
Halten Fyr;SN71850;21.03.2018;16,4
Halten Fyr;SN71850;22.03.2018;12,3
Halten Fyr;SN71850;23.03.2018;9,3
Halten Fyr;SN71850;24.03.2018;20
Halten Fyr;SN71850;25.03.2018;16,4
Halten Fyr;SN71850;26.03.2018;11,4
Halten Fyr;SN71850;27.03.2018;5,8
Halten Fyr;SN71850;28.03.2018;9,1
Halten Fyr;SN71850;29.03.2018;8,4
Halten Fyr;SN71850;30.03.2018;6,9
Halten Fyr;SN71850;31.03.2018;5,5
Halten Fyr;SN71850;01.04.2018;10,6
Halten Fyr;SN71850;02.04.2018;8,3
Halten Fyr;SN71850;03.04.2018;8,7
Halten Fyr;SN71850;04.04.2018;11,6
Halten Fyr;SN71850;05.04.2018;10,1
Halten Fyr;SN71850;06.04.2018;17
Halten Fyr;SN71850;07.04.2018;16,2
Halten Fyr;SN71850;08.04.2018;9,1
Halten Fyr;SN71850;09.04.2018;10,4
Halten Fyr;SN71850;10.04.2018;11,3
Halten Fyr;SN71850;11.04.2018;7
Halten Fyr;SN71850;12.04.2018;6,8
Halten Fyr;SN71850;13.04.2018;8,8
Halten Fyr;SN71850;14.04.2018;7,3
Halten Fyr;SN71850;15.04.2018;7,6
Halten Fyr;SN71850;16.04.2018;8,9
Halten Fyr;SN71850;17.04.2018;5,1
Halten Fyr;SN71850;18.04.2018;8,9
Halten Fyr;SN71850;19.04.2018;10,7
Halten Fyr;SN71850;20.04.2018;14,7
Halten Fyr;SN71850;21.04.2018;16,6
Halten Fyr;SN71850;22.04.2018;12,3
Halten Fyr;SN71850;23.04.2018;8,1
Halten Fyr;SN71850;24.04.2018;16,2
Halten Fyr;SN71850;25.04.2018;15,2
Halten Fyr;SN71850;26.04.2018;9,9
Halten Fyr;SN71850;27.04.2018;7,3
Halten Fyr;SN71850;28.04.2018;6,7
Halten Fyr;SN71850;29.04.2018;8,1
Halten Fyr;SN71850;30.04.2018;9,8
Halten Fyr;SN71850;01.05.2018;14,8
Halten Fyr;SN71850;02.05.2018;11,3
Halten Fyr;SN71850;03.05.2018;12
Halten Fyr;SN71850;04.05.2018;10,2
Halten Fyr;SN71850;05.05.2018;11,4
Halten Fyr;SN71850;06.05.2018;14,2
Halten Fyr;SN71850;07.05.2018;18,7
Halten Fyr;SN71850;08.05.2018;8,9
Halten Fyr;SN71850;09.05.2018;10,7
Halten Fyr;SN71850;10.05.2018;12,9
Halten Fyr;SN71850;11.05.2018;8,2
Halten Fyr;SN71850;12.05.2018;7,7
Halten Fyr;SN71850;13.05.2018;9,5
Halten Fyr;SN71850;14.05.2018;6,1
Halten Fyr;SN71850;15.05.2018;5,3
Halten Fyr;SN71850;16.05.2018;10,4
Halten Fyr;SN71850;17.05.2018;8,3
Halten Fyr;SN71850;18.05.2018;7,8
Halten Fyr;SN71850;19.05.2018;8,3
Halten Fyr;SN71850;20.05.2018;8,4
Halten Fyr;SN71850;21.05.2018;8,6
Halten Fyr;SN71850;22.05.2018;10,2
Halten Fyr;SN71850;23.05.2018;9,2
Halten Fyr;SN71850;24.05.2018;11
Halten Fyr;SN71850;25.05.2018;7,6
Halten Fyr;SN71850;26.05.2018;6,2
Halten Fyr;SN71850;27.05.2018;9,2
Halten Fyr;SN71850;28.05.2018;7,7
Halten Fyr;SN71850;29.05.2018;6,3
Halten Fyr;SN71850;30.05.2018;11,1
Halten Fyr;SN71850;31.05.2018;9,2
Halten Fyr;SN71850;01.06.2018;7,1
Halten Fyr;SN71850;02.06.2018;8,3
Halten Fyr;SN71850;03.06.2018;9,2
Halten Fyr;SN71850;04.06.2018;13,6
Halten Fyr;SN71850;05.06.2018;13,3
Halten Fyr;SN71850;06.06.2018;8
Halten Fyr;SN71850;07.06.2018;12,2
Halten Fyr;SN71850;08.06.2018;7,4
Halten Fyr;SN71850;09.06.2018;6,5
Halten Fyr;SN71850;10.06.2018;6,3
Halten Fyr;SN71850;11.06.2018;8,6
Halten Fyr;SN71850;12.06.2018;7,5
Halten Fyr;SN71850;13.06.2018;3,7
Halten Fyr;SN71850;14.06.2018;8,7
Halten Fyr;SN71850;15.06.2018;21,1
Halten Fyr;SN71850;16.06.2018;20
Halten Fyr;SN71850;17.06.2018;8,2
Halten Fyr;SN71850;18.06.2018;8,3
Halten Fyr;SN71850;19.06.2018;19,6
Halten Fyr;SN71850;20.06.2018;20,4
Halten Fyr;SN71850;21.06.2018;10,1
Halten Fyr;SN71850;22.06.2018;13,4
Halten Fyr;SN71850;23.06.2018;11,8
Halten Fyr;SN71850;24.06.2018;13
Halten Fyr;SN71850;25.06.2018;13,7
Halten Fyr;SN71850;26.06.2018;13,4
Halten Fyr;SN71850;27.06.2018;9,4
Halten Fyr;SN71850;28.06.2018;13,5
Halten Fyr;SN71850;29.06.2018;9,4
Halten Fyr;SN71850;30.06.2018;9,9
Halten Fyr;SN71850;01.07.2018;10,1
Halten Fyr;SN71850;02.07.2018;8,2
Halten Fyr;SN71850;03.07.2018;7,1
Halten Fyr;SN71850;04.07.2018;9,6
Halten Fyr;SN71850;05.07.2018;10,2
Halten Fyr;SN71850;06.07.2018;9,8
Halten Fyr;SN71850;07.07.2018;5,5
Halten Fyr;SN71850;08.07.2018;6,9
Halten Fyr;SN71850;09.07.2018;8,7
Halten Fyr;SN71850;10.07.2018;6,7
Halten Fyr;SN71850;11.07.2018;7,8
Halten Fyr;SN71850;12.07.2018;6,8
Halten Fyr;SN71850;13.07.2018;7,1
Halten Fyr;SN71850;14.07.2018;5,5
Halten Fyr;SN71850;15.07.2018;5,3
Halten Fyr;SN71850;16.07.2018;4,9
Halten Fyr;SN71850;17.07.2018;8,3
Halten Fyr;SN71850;18.07.2018;12,1
Halten Fyr;SN71850;19.07.2018;7,2
Halten Fyr;SN71850;20.07.2018;6,2
Halten Fyr;SN71850;21.07.2018;4,8
Halten Fyr;SN71850;16.09.2018;13,2
Halten Fyr;SN71850;17.09.2018;18,8
Halten Fyr;SN71850;18.09.2018;12,8
Halten Fyr;SN71850;19.09.2018;14,3
Halten Fyr;SN71850;20.09.2018;25,2
Halten Fyr;SN71850;21.09.2018;22,3
Halten Fyr;SN71850;22.09.2018;22,9
Halten Fyr;SN71850;23.09.2018;18,4
Halten Fyr;SN71850;24.09.2018;18,4
Halten Fyr;SN71850;25.09.2018;19,4
Halten Fyr;SN71850;26.09.2018;26
Halten Fyr;SN71850;27.09.2018;14,9
Halten Fyr;SN71850;28.09.2018;16,4
Halten Fyr;SN71850;29.09.2018;23,4
Halten Fyr;SN71850;30.09.2018;16,8
Halten Fyr;SN71850;01.10.2018;12,8
Halten Fyr;SN71850;02.10.2018;8,2
Halten Fyr;SN71850;03.10.2018;11,6
Halten Fyr;SN71850;04.10.2018;12,6
Halten Fyr;SN71850;05.10.2018;25,5
Halten Fyr;SN71850;06.10.2018;23,7
Halten Fyr;SN71850;07.10.2018;12,2
Halten Fyr;SN71850;08.10.2018;17,2
Halten Fyr;SN71850;09.10.2018;15,7
Halten Fyr;SN71850;10.10.2018;11,9
Halten Fyr;SN71850;11.10.2018;8,4
Halten Fyr;SN71850;12.10.2018;11,5
Halten Fyr;SN71850;13.10.2018;16,2
Halten Fyr;SN71850;14.10.2018;11,6
Halten Fyr;SN71850;15.10.2018;9,1
Halten Fyr;SN71850;16.10.2018;13,8
Halten Fyr;SN71850;17.10.2018;14,5
Halten Fyr;SN71850;18.10.2018;17,4
Halten Fyr;SN71850;19.10.2018;15,8
Halten Fyr;SN71850;20.10.2018;13,8
Halten Fyr;SN71850;21.10.2018;19
Halten Fyr;SN71850;22.10.2018;20
Halten Fyr;SN71850;23.10.2018;17,8
Halten Fyr;SN71850;24.10.2018;16,8
Halten Fyr;SN71850;25.10.2018;12,3
Halten Fyr;SN71850;26.10.2018;9,6
Halten Fyr;SN71850;27.10.2018;7,2
Halten Fyr;SN71850;28.10.2018;9,4
Halten Fyr;SN71850;29.10.2018;17,4
Halten Fyr;SN71850;30.10.2018;19
Halten Fyr;SN71850;31.10.2018;18,2
Halten Fyr;SN71850;01.11.2018;15,2
Halten Fyr;SN71850;02.11.2018;16,4
Halten Fyr;SN71850;03.11.2018;13,5
Halten Fyr;SN71850;04.11.2018;14,8
Halten Fyr;SN71850;05.11.2018;9,9
Halten Fyr;SN71850;06.11.2018;7,7
Halten Fyr;SN71850;07.11.2018;8,1
Halten Fyr;SN71850;08.11.2018;14,3
Halten Fyr;SN71850;09.11.2018;6,6
Halten Fyr;SN71850;10.11.2018;19,5
Halten Fyr;SN71850;11.11.2018;18,9
Halten Fyr;SN71850;12.11.2018;11,3
Halten Fyr;SN71850;13.11.2018;10,2
Halten Fyr;SN71850;14.11.2018;9,8
Halten Fyr;SN71850;15.11.2018;12,1
Halten Fyr;SN71850;16.11.2018;17,1
Halten Fyr;SN71850;17.11.2018;9,3
Halten Fyr;SN71850;18.11.2018;8,4
Halten Fyr;SN71850;19.11.2018;7,9
Halten Fyr;SN71850;20.11.2018;7,7
Halten Fyr;SN71850;21.11.2018;13,5
Halten Fyr;SN71850;22.11.2018;6,6
Halten Fyr;SN71850;23.11.2018;8,8
Halten Fyr;SN71850;24.11.2018;9,8
Halten Fyr;SN71850;25.11.2018;9,4
Halten Fyr;SN71850;26.11.2018;11,9
Halten Fyr;SN71850;27.11.2018;8,3
Halten Fyr;SN71850;28.11.2018;13,4
Halten Fyr;SN71850;29.11.2018;19,7
Halten Fyr;SN71850;30.11.2018;16,9
Halten Fyr;SN71850;01.12.2018;17,1
Halten Fyr;SN71850;02.12.2018;14,9
Halten Fyr;SN71850;03.12.2018;11,6
Halten Fyr;SN71850;04.12.2018;16,9
Halten Fyr;SN71850;05.12.2018;24,1
Halten Fyr;SN71850;06.12.2018;13,9
Halten Fyr;SN71850;07.12.2018;9,2
Halten Fyr;SN71850;08.12.2018;8,8
Halten Fyr;SN71850;09.12.2018;11
Halten Fyr;SN71850;10.12.2018;17,8
Halten Fyr;SN71850;11.12.2018;13,5
Halten Fyr;SN71850;12.12.2018;8,5
Halten Fyr;SN71850;13.12.2018;8,1
Halten Fyr;SN71850;14.12.2018;6,7
Halten Fyr;SN71850;15.12.2018;9,2
Halten Fyr;SN71850;16.12.2018;14,9
Halten Fyr;SN71850;17.12.2018;14,6
Halten Fyr;SN71850;18.12.2018;12
Halten Fyr;SN71850;19.12.2018;15,5
Halten Fyr;SN71850;20.12.2018;15,6
Halten Fyr;SN71850;21.12.2018;16,7
Halten Fyr;SN71850;22.12.2018;12,3
Halten Fyr;SN71850;23.12.2018;6
Halten Fyr;SN71850;24.12.2018;16,1
Halten Fyr;SN71850;25.12.2018;19,4
Halten Fyr;SN71850;26.12.2018;14,9
Halten Fyr;SN71850;27.12.2018;12,2
Halten Fyr;SN71850;28.12.2018;13
Halten Fyr;SN71850;29.12.2018;16,6
Halten Fyr;SN71850;30.12.2018;12,1
Halten Fyr;SN71850;31.12.2018;23
Halten Fyr;SN71850;01.01.2019;26,6
Halten Fyr;SN71850;02.01.2019;19,2
Halten Fyr;SN71850;03.01.2019;17,2
Halten Fyr;SN71850;04.01.2019;17,6
Halten Fyr;SN71850;05.01.2019;7,7
Halten Fyr;SN71850;06.01.2019;14,8
Halten Fyr;SN71850;07.01.2019;13
Halten Fyr;SN71850;08.01.2019;14,5
Halten Fyr;SN71850;09.01.2019;16,3
Halten Fyr;SN71850;10.01.2019;19,8
Halten Fyr;SN71850;11.01.2019;22,5
Halten Fyr;SN71850;12.01.2019;17,9
Halten Fyr;SN71850;13.01.2019;21,9
Halten Fyr;SN71850;14.01.2019;24,9
Halten Fyr;SN71850;15.01.2019;15,8
Halten Fyr;SN71850;16.01.2019;9,3
Halten Fyr;SN71850;17.01.2019;19,8
Halten Fyr;SN71850;18.01.2019;17,9
Halten Fyr;SN71850;19.01.2019;18,9
Halten Fyr;SN71850;20.01.2019;14,5
Halten Fyr;SN71850;21.01.2019;11,1
Halten Fyr;SN71850;22.01.2019;10,1
Halten Fyr;SN71850;23.01.2019;6,9
Halten Fyr;SN71850;24.01.2019;12,3
Halten Fyr;SN71850;25.01.2019;15
Halten Fyr;SN71850;26.01.2019;20,1
Halten Fyr;SN71850;27.01.2019;17,3
Halten Fyr;SN71850;28.01.2019;12,3
Halten Fyr;SN71850;29.01.2019;16,3
Halten Fyr;SN71850;30.01.2019;13,1
Halten Fyr;SN71850;31.01.2019;12,7
Halten Fyr;SN71850;01.02.2019;18,4
Halten Fyr;SN71850;02.02.2019;19,2
Halten Fyr;SN71850;03.02.2019;15,9
Halten Fyr;SN71850;04.02.2019;10,7
Halten Fyr;SN71850;05.02.2019;10
Halten Fyr;SN71850;06.02.2019;10,8
Halten Fyr;SN71850;07.02.2019;14,9
Halten Fyr;SN71850;08.02.2019;8,6
Halten Fyr;SN71850;09.02.2019;12,9
Halten Fyr;SN71850;10.02.2019;13,6
Halten Fyr;SN71850;11.02.2019;15,8
Halten Fyr;SN71850;12.02.2019;15,6
Halten Fyr;SN71850;13.02.2019;21,4
Halten Fyr;SN71850;14.02.2019;24,7
Halten Fyr;SN71850;15.02.2019;15,8
Halten Fyr;SN71850;16.02.2019;21,8
Halten Fyr;SN71850;17.02.2019;11,4
Halten Fyr;SN71850;18.02.2019;11
Halten Fyr;SN71850;19.02.2019;16,6
Halten Fyr;SN71850;20.02.2019;14,8
Halten Fyr;SN71850;21.02.2019;14,3
Halten Fyr;SN71850;22.02.2019;14,5
Halten Fyr;SN71850;23.02.2019;16,7
Halten Fyr;SN71850;24.02.2019;20,1
Halten Fyr;SN71850;25.02.2019;18,6
Halten Fyr;SN71850;26.02.2019;16,7
Halten Fyr;SN71850;27.02.2019;20,4
Halten Fyr;SN71850;28.02.2019;16,5
Halten Fyr;SN71850;01.03.2019;13,8
Halten Fyr;SN71850;02.03.2019;16,6
Halten Fyr;SN71850;03.03.2019;10,7
Halten Fyr;SN71850;04.03.2019;11,4
Halten Fyr;SN71850;05.03.2019;8,1
Halten Fyr;SN71850;06.03.2019;6,1
Halten Fyr;SN71850;07.03.2019;10,3
Halten Fyr;SN71850;08.03.2019;12,3
Halten Fyr;SN71850;09.03.2019;14,5
Halten Fyr;SN71850;10.03.2019;11,9
Halten Fyr;SN71850;11.03.2019;10
Halten Fyr;SN71850;12.03.2019;23
Halten Fyr;SN71850;13.03.2019;22,7
Halten Fyr;SN71850;14.03.2019;9,5
Halten Fyr;SN71850;15.03.2019;11,4
Halten Fyr;SN71850;16.03.2019;9,2
Halten Fyr;SN71850;17.03.2019;12,5
Halten Fyr;SN71850;18.03.2019;15,2
Halten Fyr;SN71850;19.03.2019;11
Halten Fyr;SN71850;20.03.2019;17,3
Halten Fyr;SN71850;21.03.2019;19,8
Halten Fyr;SN71850;22.03.2019;15,2
Halten Fyr;SN71850;23.03.2019;25,8
Halten Fyr;SN71850;24.03.2019;23,1
Halten Fyr;SN71850;25.03.2019;21,2
Halten Fyr;SN71850;26.03.2019;21,4
Halten Fyr;SN71850;27.03.2019;12,5
Halten Fyr;SN71850;28.03.2019;27,9
Halten Fyr;SN71850;29.03.2019;26,9
Halten Fyr;SN71850;30.03.2019;18
Halten Fyr;SN71850;31.03.2019;16,1
Halten Fyr;SN71850;01.04.2019;22,1
Halten Fyr;SN71850;02.04.2019;10
Halten Fyr;SN71850;03.04.2019;5,7
Halten Fyr;SN71850;04.04.2019;10,3
Halten Fyr;SN71850;05.04.2019;13,6
Halten Fyr;SN71850;06.04.2019;13,8
Halten Fyr;SN71850;07.04.2019;16,4
Halten Fyr;SN71850;08.04.2019;14,4
Halten Fyr;SN71850;09.04.2019;9,2
Halten Fyr;SN71850;10.04.2019;7,4
Halten Fyr;SN71850;11.04.2019;6,9
Halten Fyr;SN71850;12.04.2019;3,7
Halten Fyr;SN71850;13.04.2019;4,8
Halten Fyr;SN71850;14.04.2019;4,2
Halten Fyr;SN71850;15.04.2019;5,5
Halten Fyr;SN71850;16.04.2019;7,4
Halten Fyr;SN71850;17.04.2019;9,7
Halten Fyr;SN71850;18.04.2019;7,3
Halten Fyr;SN71850;19.04.2019;9
Halten Fyr;SN71850;20.04.2019;11,5
Halten Fyr;SN71850;21.04.2019;11,6
Halten Fyr;SN71850;22.04.2019;10,2
Halten Fyr;SN71850;23.04.2019;7,6
Halten Fyr;SN71850;24.04.2019;9,7
Halten Fyr;SN71850;25.04.2019;15,2
Halten Fyr;SN71850;26.04.2019;11,1
Halten Fyr;SN71850;27.04.2019;10,1
Halten Fyr;SN71850;28.04.2019;10,7
Halten Fyr;SN71850;29.04.2019;6,6
Halten Fyr;SN71850;30.04.2019;4,4
Halten Fyr;SN71850;01.05.2019;12,3
Halten Fyr;SN71850;02.05.2019;15,1
Halten Fyr;SN71850;03.05.2019;13,8
Halten Fyr;SN71850;04.05.2019;16,6
Halten Fyr;SN71850;05.05.2019;13,5
Halten Fyr;SN71850;06.05.2019;13,6
Halten Fyr;SN71850;07.05.2019;8,9
Halten Fyr;SN71850;08.05.2019;10,2
Halten Fyr;SN71850;09.05.2019;11,6
Halten Fyr;SN71850;10.05.2019;14,8
Halten Fyr;SN71850;11.05.2019;10,3
Halten Fyr;SN71850;12.05.2019;11,7
Halten Fyr;SN71850;13.05.2019;13,2
Halten Fyr;SN71850;14.05.2019;11,5
Halten Fyr;SN71850;15.05.2019;8,4
Halten Fyr;SN71850;16.05.2019;7,3
Halten Fyr;SN71850;17.05.2019;7,2
Halten Fyr;SN71850;18.05.2019;11,7
Halten Fyr;SN71850;19.05.2019;9,9
Halten Fyr;SN71850;20.05.2019;4,9
Halten Fyr;SN71850;21.05.2019;8,3
Halten Fyr;SN71850;22.05.2019;8,7
Halten Fyr;SN71850;23.05.2019;7,6
Halten Fyr;SN71850;24.05.2019;8,1
Halten Fyr;SN71850;25.05.2019;9
Halten Fyr;SN71850;26.05.2019;9,1
Halten Fyr;SN71850;27.05.2019;9,5
Halten Fyr;SN71850;28.05.2019;10,3
Halten Fyr;SN71850;29.05.2019;14,2
Halten Fyr;SN71850;30.05.2019;11,7
Halten Fyr;SN71850;31.05.2019;14,7
Halten Fyr;SN71850;01.06.2019;9,6
Halten Fyr;SN71850;02.06.2019;6,4
Halten Fyr;SN71850;03.06.2019;7,9
Halten Fyr;SN71850;04.06.2019;8,8
Halten Fyr;SN71850;05.06.2019;9,7
Halten Fyr;SN71850;06.06.2019;10,4
Halten Fyr;SN71850;07.06.2019;12
Halten Fyr;SN71850;08.06.2019;11
Halten Fyr;SN71850;09.06.2019;11,4
Halten Fyr;SN71850;10.06.2019;9,8
Halten Fyr;SN71850;11.06.2019;11,4
Halten Fyr;SN71850;12.06.2019;10,8
Halten Fyr;SN71850;13.06.2019;14,5
Halten Fyr;SN71850;14.06.2019;7,7
Halten Fyr;SN71850;15.06.2019;5,9
Halten Fyr;SN71850;16.06.2019;9,2
Halten Fyr;SN71850;17.06.2019;6,7
Halten Fyr;SN71850;18.06.2019;8,4
Halten Fyr;SN71850;19.06.2019;7,6
Halten Fyr;SN71850;20.06.2019;9,1
Halten Fyr;SN71850;21.06.2019;8,3
Halten Fyr;SN71850;22.06.2019;16,3
Halten Fyr;SN71850;23.06.2019;16,1
Halten Fyr;SN71850;24.06.2019;10
Halten Fyr;SN71850;25.06.2019;10,3
Halten Fyr;SN71850;26.06.2019;9,4
Halten Fyr;SN71850;27.06.2019;11,2
Halten Fyr;SN71850;28.06.2019;11,9
Halten Fyr;SN71850;29.06.2019;14,7
Halten Fyr;SN71850;30.06.2019;15,4
Halten Fyr;SN71850;01.07.2019;16,3
Halten Fyr;SN71850;02.07.2019;16,3
Halten Fyr;SN71850;03.07.2019;14
Halten Fyr;SN71850;04.07.2019;9,9
Halten Fyr;SN71850;05.07.2019;10,6
Halten Fyr;SN71850;06.07.2019;8,8
Halten Fyr;SN71850;07.07.2019;8,1
Halten Fyr;SN71850;08.07.2019;8,6
Halten Fyr;SN71850;09.07.2019;5
Halten Fyr;SN71850;10.07.2019;5
Halten Fyr;SN71850;11.07.2019;6,7
Halten Fyr;SN71850;12.07.2019;6,9
Halten Fyr;SN71850;13.07.2019;5,6
Halten Fyr;SN71850;14.07.2019;4,9
Halten Fyr;SN71850;15.07.2019;7,3
Halten Fyr;SN71850;16.07.2019;8,3
Halten Fyr;SN71850;17.07.2019;8,1
Halten Fyr;SN71850;18.07.2019;7,1
Halten Fyr;SN71850;19.07.2019;7,7
Halten Fyr;SN71850;20.07.2019;9,4
Halten Fyr;SN71850;21.07.2019;9,5
Halten Fyr;SN71850;22.07.2019;9,4
Halten Fyr;SN71850;23.07.2019;7,7
