date,price,biomass,feed,removed,sea_temp,wind
2012-01-01,25.824361126183202,680759873.1,96060296.0,83646947.4,6.984399693734777,16.78
2012-01-02,25.65,680467574.2970794,95481987.06014952,83068348.77303551,6.984399693734777,14.6
2012-01-03,25.45710595249148,680138942.0154032,94884320.38098809,82496540.23361626,6.923624457731846,16.185
2012-01-04,25.26220377993815,679774993.3343952,94269448.26883712,81933768.81683181,6.868555758767389,17.880000000000003
2012-01-05,25.085077166868597,679376745.33348,93639523.03001809,81382281.55777165,6.818422348795186,13.625
2012-01-06,24.94550979781141,678945215.0920815,92996696.97085251,80844325.49152528,6.772452979769022,14.809999999999999
2012-01-07,24.863285357295187,678481419.6896243,92343122.39766178,80322147.65318224,6.729876403642682,10.84
2012-01-08,24.858187529848518,677986376.2055324,91680951.61676738,79817995.07783201,6.689921372369949,10.440000000000001
2012-01-09,24.95,677461101.7192304,91012336.93449079,79334114.80056411,6.6518166379046075,17.0
2012-01-10,25.14900789506478,676906613.310142,90339430.65715343,78872753.85646805,6.614790952200441,16.25
2012-01-11,25.427502113504243,676323928.0576919,89664385.09107679,78436159.28063336,6.578073067211234,18.733333333333334
2012-01-12,25.748274996566344,675714063.0413042,88989352.54258235,78026578.10814953,6.540891734890769,20.349999999999998
2012-01-13,26.07411888549903,675078035.3404031,88316485.31799151,77646257.37410605,6.502475707192832,19.958333333333332
2012-01-14,26.36782612155023,674416862.0344132,87647935.7236258,77297444.11359248,6.462053736071206,13.058333333333332
2012-01-15,26.592189045967906,673731560.2027581,86985856.06580664,76982385.3616983,6.418854573479674,10.091666666666667
2012-01-16,26.71,673023146.9248626,86332398.6508555,76703328.153513,6.372106971372021,10.166666666666666
2012-01-17,26.695229814188178,672292639.2801507,85689715.78509381,76462519.52412614,6.321233418297883,8.933333333333334
2012-01-18,26.566563276248946,671541054.3480465,85059959.77484311,76262206.50862719,6.266431349190305,17.683333333333334
2012-01-19,26.353863663192552,670769409.2079747,84445282.92642479,76104636.1421057,6.208091935578184,17.45
2012-01-20,26.08699425202922,669978720.9393592,83847837.54616033,75992055.45965114,6.146606348990419,11.083333333333334
2012-01-21,25.7958183197692,669170006.6216244,83269775.9403712,75926711.49635303,6.0823657609559065,17.883333333333333
2012-01-22,25.510199143422714,668344283.3341944,82713250.41537885,75910851.28730091,6.015761343003544,13.508333333333335
2012-01-23,25.26,667502568.1564938,82180413.27750477,75946721.86758424,5.94718426666223,9.950000000000001
2012-01-24,25.070131157220434,666645878.1679465,81673416.83307037,76036570.27229257,5.877015629011523,9.883333333333333
2012-01-25,24.945690845639923,665775230.4479767,81194413.38839713,76182643.5365154,5.805596229333627,15.049999999999999
2012-01-26,24.886824286523517,664891642.0760089,80745555.24980654,76387188.69534223,5.733256792461412,18.150000000000002
2012-01-27,24.893676701136272,663996130.1314671,80328994.72362004,76652452.78386259,5.660328043227743,15.608333333333334
2012-01-28,24.96639331074324,663089711.693776,79946884.11615908,76980682.83716598,5.5871407064654885,11.208333333333334
2012-01-29,25.105119336609462,662173403.8423594,79601375.73374516,77374125.8903419,5.514025507007516,11.741666666666667
2012-01-30,25.31,661248223.6566417,79294621.88269967,77835028.97847986,5.441313169686692,10.729166666666666
2012-01-31,25.577977335355758,660315188.2160472,79028774.86934413,78365639.13666941,5.3693152621867295,8.983333333333333
2012-02-01,25.893180629821114,659375314.6,78805987.0,78968203.4,5.298266723594725,9.45
2012-02-02,26.236535983716298,658429496.2154442,78627576.29801898,79643507.64778194,5.228383335848619,12.024999999999999
2012-02-03,26.588969497361546,657478131.7794018,78491523.65487383,80386493.1362084,5.159880880886354,13.883333333333333
2012-02-04,26.93140727107709,656521496.3364143,78394975.67906764,81190639.9656934,5.092975140645871,12.325000000000001
2012-02-05,27.244775405183162,655559864.9310242,78335078.97910336,82049428.23665087,5.027881897065113,15.375
2012-02-06,27.51,654593512.6077727,78308980.16348407,82956338.0494948,4.9648169320820195,17.008333333333333
2012-02-07,27.714052795817167,653622714.4112017,78313825.8407128,83904849.50463916,4.904454325848719,12.058333333333332
2012-02-08,27.868088092801568,652647745.3858532,78346762.6192926,84888442.70249787,4.849301351374078,10.083333333333334
2012-02-09,27.98930583108942,651668880.5762686,78404937.10772645,85900597.74348496,4.802323579881146,14.733333333333334
2012-02-10,28.09490595081696,650686395.02699,78485495.91451743,86934794.72801438,4.76648658259298,16.583333333333332
2012-02-11,28.20208839212042,649700563.7825592,78585585.64816856,87984513.75650007,4.744755930732628,15.6875
2012-02-12,28.328053095136017,648711661.8875177,78702352.91718286,89043234.92935601,4.740097195523143,11.141666666666666
2012-02-13,28.49,647719964.3864075,78832944.33006336,90104438.3469962,4.755475948187578,12.924999999999999
2012-02-14,28.698610315194806,646725746.3237703,78974506.49531311,91161604.10983455,4.792473540196611,18.325
2012-02-15,28.93849032258778,645729282.744148,79124186.02143513,92208212.3182851,4.847134444011431,18.391666666666666
2012-02-16,29.187727572392493,644730848.6920822,79279129.51693244,93237743.07276173,4.914118912340853,14.225
2012-02-17,29.424409614822505,643730719.2121148,79436483.59030811,94243676.4736785,4.988087197893693,14.316666666666668
2012-02-18,29.626624000091386,642729169.3487874,79593394.85006514,95219492.6214493,5.0636995533787665,16.283333333333335
2012-02-19,29.772458278412692,641726474.1466421,79747009.90470657,96158671.61648813,5.135616231504887,17.233333333333334
2012-02-20,29.84,640722908.6502205,79894475.36273544,97054693.55920897,5.198497484980874,18.25
2012-02-21,29.814596322412353,639718747.9040643,80032937.83265479,97901038.55002576,5.247991442322922,18.3
